Question	Option A	Option B	Option C	Option D	GT
Adversaries may purchase online advertisements to distribute malware to victims by planting or favorably positioning artifacts in what online location?	Email inboxes	Specific online locations, such as prominently placed within search engine results	Social media feeds	Mobile device apps	B
Which of the following is a potential technique used by adversaries to evade detection by the advertising network?	Using open-source vulnerability scanners	Dynamically routing ad clicks to send automated crawler/policy enforcer traffic to benign sites	Compromising a cloud-based infrastructure	Abusing user privileges on the malware-infected system	B
Which MITRE ATT&CK technique may be used to support Drive-by Target and Drive-by Compromise, potentially requiring limited interaction from the user?	T1193 - Exploit Public-Facing Application	TA0035 - Malvertising	T1566 - Phishing	T1078 - PowerShell Command and Scripting	B
What is a possible way adversaries may use to impersonate or spoof well-known brands?	Creating malicious domains that mirror official websites	Using fake credentials to access official websites	Hijacking a legitimate brand's online advertising account	Bribing an advertising network representative	A
Which of the following is a potential result of a user clicking on a malicious ad?	The ad may send the user to a legitimate website with a free trial offer	The ad may trick the user into installing a legitimate software	The ad may send the user to a malicious domain that may be a clone of an official website	The ad may block the user's internet connection	C
Adversaries may use an existing Web service channel to send commands to a compromised system without receiving return output. What MITRE ATT&CK technique is this an example of?	T1091 - Email Collection	T1046 - Network Service Scanning	T1043 - Targeted Storage Discovery	T1071 - Application Layer Protocol	D
Compromised systems can leverage popular websites and social media to host command and control (C2) instructions. What is the purpose of using common services like Google or Twitter as C2 mechanisms?	To reduce the likelihood of detection	To create a new communication channel	To send instructions to systems without receiving a response	To increase the level of encryption protection	A
Popular websites and social media can give a significant amount of cover to adversaries when used as C2 channels. Why is this the case?	Due to the lack of network traffic monitoring	Because hosts within a network are already communicating with them prior to a compromise	Due to the complexity of SSL/TLS encryption	Because of the ease of detection by security systems	B
Compromised systems may return no output at all when sending commands to the C2 channel. What is the purpose of this approach?	To reduce the risk of detection	To increase the level of encryption protection	To send instructions to systems and not receive a response	To create a new communication channel	C
Web service providers commonly use SSL/TLS encryption to secure data transmission. What advantage does this give to adversaries?	Enhanced encryption protection for user data	Simplified decryption of encrypted data	Increased level of protection for adversaries	Reduced level of protection for adversaries	C
What type of infrastructure providers may offer free trial periods, enabling infrastructure acquisition at limited to no cost?	Cloud service providers	Domain registrars	Botnet operators	Residential proxy service providers	A
What is a benefit of using infrastructure solutions for adversaries, according to the text?	Increased difficulty in tracing back to the adversary	Reduced costs for infrastructure acquisition	Greater visibility for cybersecurity monitoring	Slower provisioning and modification of infrastructure	B
What type of infrastructure can be used to support Proxy, according to the text?	Physical servers	Cloud servers	Residential proxy services	Botnets	C
What type of infrastructure is available for rent or purchase, according to the text?	Botnets	Cloud servers	Domain infrastructure	Physical servers	A
What is a capability of some infrastructure providers, according to the text?	Limited ability to modify and shut down infrastructure	Rapid provisioning, modification, and shutting down of infrastructure	Slow provisioning and modification of infrastructure	Increased difficulty in tracing back to the adversary	B
