LLAMA3-8B	GT	LLAMA3-8B-Article-model
CWE-200	CWE-532	CWE-200
CWE-79	CWE-79	CWE-79
CWE-306	CWE-613	CWE-306
CWE-20	CWE-940	CWE-20
CWE-79	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79
CWE-20	CWE-269	CWE-20
CWE-248	CWE-284	CWE-248
CWE-400	CWE-400	CWE-400
CWE-20	CWE-20	CWE-20
CWE-122	CWE-122	CWE-122
CWE-345	CWE-295	CWE-345
CWE-20	CWE-75	CWE-75
CWE-287	CWE-269	CWE-287
CWE-122	CWE-269	CWE-122
CWE-306	CWE-319	CWE-306
CWE-346	CWE-20	CWE-20
CWE22	CWE-59	CWE22
CWE-120	CWE-125	CWE-120
CWE-134	CWE-476	CWE-134
CWE-691	CWE-250	CWE-691
CWE-122	CWE-788	CWE-122
CWE-476	CWE-476	CWE-476
CWE-119	CWE-125	CWE-119
CWE-285	CWE-285	CWE-285
CWE-476	CWE-476	CWE-476
CWE-476	CWE-476	CWE-476
CWE-20	CWE-20	CWE-20
CWE-400	CWE-770	CWE-400
CWE-264	CWE-269	CWE-264
CWE-79	CWE-79	CWE-79
CWE-269	CWE-250	CWE-269
CWE-272	CWE-266	CWE-272
CWE-22	CWE-476	CWE-22
CWE-276	CWE-73	CWE-276
CWE-125	CWE-119	CWE-125
CWE-20	CWE-665	CWE-20
CWE-788	CWE-787	CWE-788
CWE-476	CWE-822	CWE-476
CWE-399	CWE-703	CWE-399
CWE-264	CWE-200	CWE-264
CWE-400	CWE-799	CWE-400
CWE-74	CWE-117	CWE-117
CWE-264	CWE-269	CWE-264
CWE-248	CWE-269	CWE-269
CWE-322	CWE-319	CWE-322
CWE-676	CWE-120	CWE-120
CWE-22	CWE-73	CWE-73
CWE-119	CWE-241	CWE-119
CWE-126	CWE-119	CWE-126
CWE-126	CWE-788	CWE-126
CWE-416	CWE-416	CWE-416
CWE-120	CWE-122	CWE-120
CWE-384	CWE-400	CWE-384
CWE-20	CWE-20	CWE-20
CWE-306	CWE-1107	CWE-306
CWE-306	CWE-863	CWE-306
CWE-120	CWE-20	CWE-120
CWE-120	CWE-119	CWE-120
CWE-362	CWE-367	CWE-362
CWE-78	CWE-78	CWE-78
CWE-78	CWE-78	CWE-78
CWE-78	CWE-78	CWE-78
CWE-78	CWE-78	CWE-78
CWE-78	CWE-78	CWE-78
CWE-80	CWE-79	CWE-80
CWE-78	CWE-78	CWE-78
CWE-362	CWE-367	CWE-362
CWE-250	CWE-269	CWE-250
CWE-119	CWE-788	CWE-119
CWE-79	CWE-79	CWE-79
CWE-89	CWE-89	CWE-89
CWE-80	CWE-80	CWE-80
CWE-80	CWE-79	CWE-80
CWE-434	CWE-434	CWE-434
CWE-528	CWE-640	CWE-528
CWE-80	CWE-79	CWE-80
CWE-787	CWE-521	CWE-787
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-200	CWE-538	CWE-200
CWE-434	CWE-434	CWE-434
CWE-676	CWE-416	CWE-676
CWE-434	CWE-434	CWE-434
CWE-94	CWE-94	CWE-94
CWE-92	CWE-94	CWE-94
CWE-269	CWE-269	CWE-269
CWE-285	CWE-284	CWE-285
CWE-20	CWE-470	CWE-20
CWE-284	CWE-862	CWE-284
CWE-310	CWE-203	CWE-310
CWE-287	CWE-425	CWE-287
CWE-264	CWE-59	CWE-264
CWE-937	CWE-125	CWE-937
CWE-400	CWE-674	CWE-674
CWE-400	CWE-476	CWE-400
CWE-399	CWE-674	CWE-399
CWE-399	CWE-674	CWE-399
CWE-287	CWE-284	CWE-287
CWE-120	CWE-120	CWE-120
CWE-787	CWE-416	CWE-416
CWE-20	CWE-20	CWE-20
CWE-269	CWE-269	CWE-269
CWE-311	CWE-311	CWE-311
CWE-22	CWE-22	CWE-22
CWE-NotFound	CWE-416	CWE-NotFound
CWE-122	CWE-787	CWE-122
CWE-416	CWE-416	CWE-416
CWE-416	CWE-416	CWE-416
CWE-79	CWE-79	CWE-79
CWE-787	CWE-788	CWE-788
CWE-20	CWE-99	CWE-20
CWE-415	CWE-416	CWE-415
CWE-80	CWE-116	CWE-80
CWE-306	CWE-862	CWE-862
CWE-284	CWE-862	CWE-284
CWE-287	CWE-862	CWE-287
CWE-285	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-401	CWE-400	CWE-401
CWE-400	CWE-770	CWE-400
CWE-306	CWE-200	CWE-306
CWE-20	CWE-918	CWE-20
CWE-120	CWE-787	CWE-120
CWE-79	CWE-79	CWE-79
CWE-89	CWE-89	CWE-89
CWE79	CWE-79	CWE79
CWE-94	CWE-94	CWE-94
CWE-89	CWE-89	CWE-89
CWE-80	CWE-79	CWE-80
CWE-79	CWE-79	CWE-79
CWE-96	CWE-79	CWE-96
CWE-122	CWE-122	CWE-122
CWE-269	CWE-276	CWE-269
CWE-384	CWE-613	CWE-384
CWE-400	CWE-404	CWE-400
CWE-80	CWE-79	CWE-79
CWE-400	CWE-404	CWE-404
CWE-285	CWE-639	CWE-285
CWE-78	CWE-73	CWE-78
CWE-79	CWE-79	CWE-79
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79
CWE-80	CWE-79	CWE-80
CWE-80	CWE-79	CWE-80
CWE-400	CWE-20	CWE-400
